ID	Name	Category	Latitude	Longitude	Address	Rating	Total_Reviews	Location	Region
poi_1769330982198_6	Choys negombo	food	7.208478700000001	79.83546849999999	Customs House Road, Negombo	3.9	615	Negombo	negombo_tangalle
poi_1769330983961_26	Choys negombo	food	7.208478700000001	79.83546849999999	Customs House Road, Negombo	3.9	615	Negombo	negombo_tangalle
poi_1769330985717_46	Choys negombo	food	7.208478700000001	79.83546849999999	Customs House Road, Negombo	3.9	615	Negombo	negombo_tangalle
poi_1769330987483_66	Choys negombo	food	7.208478700000001	79.83546849999999	Customs House Road, Negombo	3.9	615	Negombo	negombo_tangalle
poi_1769330989350_80	St. Mary's Church - Grand Street	attraction	7.2103836	79.8372971	Main Street, No.100 Grand Street, Negombo	4.7	1425	Negombo	negombo_tangalle
poi_1769330989350_81	T-TEC Tours	attraction	7.205241000000002	79.840689	35, 36 Greens Road, Negombo	3	3	Negombo	negombo_tangalle
poi_1769330989350_82	Sri Lankan Riders - Holiday & Tours	attraction	7.210171900000002	79.83456699999999	aveon sky, 3G, Main Street, Negombo	4	10	Negombo	negombo_tangalle
poi_1769330989350_83	Story House	attraction	7.2067933	79.83343409999999	No: 11/6 Lake View Road, Negombo	5	10	Negombo	negombo_tangalle
poi_1769330989350_84	Grand Street Bridge	attraction	7.211029300000003	79.8384631	186, 180 Main Street, Negombo	3.5	8	Negombo	negombo_tangalle
poi_1769330989350_86	Negombo Dutch Fort	attraction	7.208615000000002	79.8317292	6R5J+CMX, Negombo	3.3	663	Negombo	negombo_tangalle
poi_1769330989350_87	The King's island Negombo	attraction	7.203916999999999	79.8363966	6R3P+HH6, Custom House Road,Kings Island Jetty, Pitipana, agoda, Negombo	3.9	156	Negombo	negombo_tangalle
poi_1769330989350_88	Captain Fernando Negombo Boat Tours	attraction	7.213796	79.8395992	Sea Street, Negombo	4.7	173	Negombo	negombo_tangalle
poi_1769330989350_89	St. Sebastian's Church - Sea Street | සා. සෙබස්තියන් දේවස්ථානය - වැල්ලවීදිය	attraction	7.218322299999999	79.83934599999999	207 Sea Street, Negombo	4.5	567	Negombo	negombo_tangalle
poi_1769330989350_90	Duwa beach	beach	7.207271899999999	79.8259715	Doowa Road	0	0	Negombo	negombo_tangalle
poi_1769330989350_91	Rukmani Devi Park	attraction	7.208391900000001	79.84598009999999	6R5W+995, Negombo	4.2	912	Negombo	negombo_tangalle
poi_1769330989350_92	Negambo Lagoon நீர்கொழும்பு தடாகம்	attraction	7.203051199999999	79.8271939	6R3G+6VG, Negombo	3	2	Negombo	negombo_tangalle
